Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,China,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Mexico,Pakistan,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China
1996,8,,,,29.64934327,125.9228833,66.08776093,,45.33016221,53.11515792,,,34.66096799,,66.32069986,42.75604248,60.9998804,,206.9558822,,,,88.64742318,52.71673917,
1996,9,,,,18.50827848,97.34151126,57.71502304,,81.54113905,81.13969908,,,44.07069135,,83.30792822,45.21398544,116.9217624,,271.2508404,,,,78.98076227,50.65147515,
1996,10,,,,91.75434625,184.9878825,75.92684174,,92.87281398,80.00974713,,,58.26046846,,75.30504217,29.6941967,156.2420424,,182.8879906,,,,55.67024218,48.02085085,
1996,11,,,,66.43714582,136.5016889,50.14237976,,76.70374113,100.1725026,,,25.08215458,,93.31503651,35.81261444,113.2069472,,153.8631047,,,,74.37119743,99.58370963,
1996,12,,,,50.50943138,94.35478653,75.32172394,,75.19550702,80.47577022,,,70.5615957,,70.37539458,65.2720108,148.7913197,,290.2890513,,,,67.17334642,88.39063914,
1997,1,77.59255059,81.83133599,54.35052841,45.34841926,101.643385,112.5136337,83.42498383,88.76413485,86.68221572,94.28379481,43.47830881,48.70529215,147.870144,99.75146324,96.73699951,134.0295213,64.88321339,196.844611,31.0181694,,59.41170471,75.44551573,94.14101746,
1997,2,77.92197939,78.88492876,88.88216566,58.59738801,79.92736914,58.92809677,45.55174438,68.00467423,56.29587476,108.6683194,67.38415185,95.60178355,193.4988628,90.98735489,95.54317474,122.4823415,48.67522999,116.490671,50.6950798,,57.93270045,92.08614082,141.8450608,
1997,3,68.79602956,68.23191285,75.45399067,52.28419886,127.8049643,70.8868866,36.23353195,62.07292339,47.05063576,108.3667112,61.97472843,34.49158025,164.8762423,89.09002639,58.50379181,121.9279021,46.86339817,62.81001696,43.75434113,,95.83730536,70.45269281,36.83891899,
1997,4,73.75483593,75.23871835,65.88330275,56.69753627,66.19479606,64.55810547,59.37230401,93.868848,101.5680608,98.98724209,55.67280828,45.60577777,142.6888234,89.08836405,42.1541214,134.9743617,60.47729776,110.0900847,43.42786407,,95.51236737,71.10443874,130.6183589,
1997,5,77.3283889,84.73477786,80.48794003,42.34241535,108.8166276,81.9120636,85.48656356,82.89986601,76.70815113,97.78985953,91.99331033,87.42163015,138.6943425,93.05565256,22.88664627,140.7894344,64.86107349,197.9880969,120.4138489,,55.22339742,75.86949851,53.7190997,
1997,6,81.30599631,86.1936609,86.79763,72.25654767,73.33613016,58.27440643,67.69451209,88.1498393,100.6619789,101.5354584,83.40395989,117.3048134,155.1402175,89.57264945,48.31271362,161.4367173,61.23200849,155.9252561,95.48297119,,63.46032304,84.47804648,110.5523501,
1997,7,66.57158703,67.42961056,53.66663195,42.38841471,44.03639503,98.56800079,62.37522087,82.058763,69.24737505,82.95784688,65.87366105,55.22787815,75.07657686,90.55793006,41.88299561,99.96890431,67.53745188,74.80919257,69.27427673,,54.95414833,76.70619866,111.730005,
1997,8,63.85466083,61.05945603,64.01364974,38.20041029,61.28613047,100.5702438,19.59624625,32.73998763,118.1935605,92.31988288,67.54280141,37.73405003,106.5814052,106.6104636,50.1714325,125.024404,65.00158948,20.71302075,61.1551857,,32.10917567,58.91502576,21.46345571,
1997,9,66.0488336,62.19497292,60.65538973,72.29671251,55.58456674,73.98316956,24.60689098,66.51674493,64.00720281,98.34366321,68.85810835,64.70841815,107.7008017,125.9454861,56.84713745,108.4222594,53.15107498,20.92938239,65.68701172,,74.38127736,54.41430432,56.3514811,
1997,10,80.72642394,76.54753616,80.5999535,38.86630936,68.98653771,98.36811829,45.47399277,59.29633258,72.82928944,92.34887728,70.65478184,62.47104295,114.7560584,124.9276603,105.4032745,117.7449085,60.25893615,28.42041902,64.61637878,,89.02506,92.92955831,84.2781849,
1997,11,95.66167648,86.0830315,55.96080077,123.9213253,83.78520825,100.2946014,49.06718635,79.6098429,68.68808543,87.66386707,53.85771987,56.76546601,80.1012265,225.6643496,91.96852112,136.4918107,59.3499459,50.00764245,48.63267899,,68.78263992,85.98280738,77.77835491,
1997,12,111.528918,98.09798614,74.01320466,127.4560183,85.2606452,194.4972382,38.202354,62.68272509,88.88281198,88.9780603,63.89509775,52.14082206,92.25221849,273.1783342,150.546463,178.8007569,60.23710505,22.7170016,57.48029709,,50.97836208,103.6995252,9.822446765,
1998,1,102.2184711,93.12704834,90.12360261,91.31592958,119.9224259,156.5882111,62.18785203,51.94140814,49.25668052,80.95994084,57.82432179,99.01570718,78.99841263,246.2390263,85.98440552,121.2255949,62.74950517,61.16945681,58.23797607,,70.36617824,107.9537597,106.4189754,
1998,2,83.61127948,78.27277772,109.5289044,53.30401058,119.860557,159.1158752,54.61765468,55.6411284,32.46657086,83.90097434,54.83635115,41.55744617,84.05859571,158.1663463,62.05884552,131.5429805,60.0623982,29.6542606,41.42932892,,69.35782806,101.1494696,116.6053832,
1998,3,87.56813291,82.73080796,62.57069914,53.72603889,88.21995971,116.5810623,38.05422578,32.82840234,79.80081036,67.86052652,63.40761022,58.69576462,125.5381892,184.0931223,41.53845215,231.2356553,58.80697765,47.47960998,59.95455933,,87.09315548,83.34761451,55.41001567,
1998,4,80.21354731,75.42605308,101.8901396,37.66267929,79.16266499,88.54354095,45.8918942,100.1266909,42.08200341,47.0175816,70.9467308,54.13244403,105.6075868,178.5603315,49.4990921,163.4818022,55.6338772,29.50868249,55.19156265,,57.05706751,74.45728445,28.3713569,
1998,5,85.31679848,81.68653148,113.759549,43.40617678,107.9260933,82.45681763,52.04998161,59.02740053,103.6131748,60.13514151,69.30665151,66.37466716,82.74916141,162.8909103,50.57260895,197.5841763,68.6409487,34.8055508,70.70422363,,82.92330165,80.1271411,44.53591872,
1998,6,84.50949581,80.90995947,103.7514275,92.30954771,102.9903924,131.4233246,48.34782481,52.63696536,73.61322489,85.35442508,58.6365714,50.47322723,65.63902289,171.4833032,63.47054672,216.0543129,63.96119752,37.61526047,62.38226318,,75.54866895,80.88773247,83.05469323,
1998,7,103.2064183,97.69120662,132.876546,40.21700241,112.5569579,139.0942535,72.33325369,52.46161871,103.7340121,92.83360282,58.71021805,72.46825448,83.75285928,215.8472185,54.49784851,232.2649201,73.1132793,69.81322442,60.37129211,,102.526763,101.4185201,64.10178284,
1998,8,114.6574322,108.6425255,204.9008328,114.5564674,168.6747801,164.7088928,45.37974478,26.05469786,87.88340715,132.2756937,74.83831569,111.3926706,142.445852,212.1437889,88.18752289,258.4811246,57.88009012,59.35732676,72.37319946,,56.53371922,130.4670375,47.66378504,
1998,9,150.1582819,153.7790404,169.6092239,170.3008107,142.7344236,248.4858246,99.67944334,95.31884349,155.4572054,136.5491961,82.42176407,151.0353184,243.8862302,191.8974522,140.4541321,428.1608889,58.82734712,239.3199186,89.86407471,,120.3037197,169.0372652,54.97078182,
1998,10,119.21681,112.79699,101.4112101,71.36449153,195.2514295,145.4777527,77.58769326,59.14083004,77.70742899,149.6314125,75.5295574,66.09434815,109.7539394,198.5064892,118.568222,235.4998237,64.3380791,37.66239739,74.40351105,,134.3556672,145.023234,96.12036489,
1998,11,101.0953083,97.113902,90.05532093,110.0508694,152.6830807,94.46794891,52.28274161,62.61157504,127.0600582,88.83730476,65.97954311,86.7282469,112.4578296,137.9206759,89.15898895,241.9322209,63.51839085,22.18051152,59.79561996,,125.8946119,113.504746,28.0033486,
1998,12,97.15794506,97.22305028,52.15093541,98.40010497,112.9366969,154.2637024,64.55547448,66.05536056,127.4077295,86.57640565,64.94187894,125.5175891,104.4127515,136.9848207,94.91594696,262.0566222,70.51222852,88.52604746,64.24643707,,56.46775263,110.8949835,61.25357728,
1999,1,100.1541484,98.52108827,46.96805257,189.1585907,101.6886031,154.7360229,55.97616278,83.07643131,111.2602821,57.91408932,57.66409898,88.99997904,106.9392441,125.4898939,81.92739105,250.4480115,60.50651078,73.61166963,53.54195404,,71.11097893,123.3228375,110.9910499,
1999,2,79.66238502,76.31686841,65.43460255,128.0170687,67.56764708,129.024704,48.38045837,42.25163557,104.8559806,85.64400754,46.41353571,59.8363471,72.18669763,115.3914487,59.31647491,118.9597446,67.55004277,60.10918623,47.74877167,,64.79441889,94.9962816,101.7081621,
