date,country,year_week,close,open,high,low,adjusted_close,volume,index_name,ticker,currency,source,return_lcu,dlog_fx,return_usd
2021-07-16,Vietnam,2021-W28,1299.31,1347.14,1347.14,1264.68,1299.31,2759278100,VN-Index,VNINDEX,VND,vnstock,-3.6150472368157995,-0.008691873104128249,-3.606355363711671
2021-07-23,Vietnam,2021-W29,1268.83,1299.31,1299.31,1225.52,1268.83,2620799800,VN-Index,VNINDEX,VND,vnstock,-2.3738138321550886,-0.05213764455958466,-2.321676187595504
2021-07-30,Vietnam,2021-W30,1310.05,1268.83,1311.97,1254.57,1310.05,2370203900,VN-Index,VNINDEX,VND,vnstock,3.1970088416293443,-0.14794189453163412,3.3449507361609783
2021-08-06,Vietnam,2021-W31,1341.45,1310.05,1351.85,1304.49,1341.45,3041416700,VN-Index,VNINDEX,VND,vnstock,2.368581405454862,-0.03923192657281075,2.407813332027673
2021-08-13,Vietnam,2021-W32,1357.05,1341.45,1374.03,1334.69,1357.05,3476992500,VN-Index,VNINDEX,VND,vnstock,1.1562107679560352,-0.017538475074553413,1.1737492430305885
2021-08-20,Vietnam,2021-W33,1329.43,1357.05,1379.7,1317.52,1329.43,3971502500,VN-Index,VNINDEX,VND,vnstock,-2.056294721561443,0.02192069102795112,-2.078215412589394
2021-08-27,Vietnam,2021-W34,1313.2,1329.43,1326.07,1285.16,1313.2,2989615500,VN-Index,VNINDEX,VND,vnstock,-1.228337229680828,-0.021941854174698846,-1.2063953755061292
2021-09-01,Vietnam,2021-W35,1334.65,1313.2,1338.02,1313.2,1334.65,1995035000,VN-Index,VNINDEX,VND,vnstock,1.6202178549106803,0.0,1.6202178549106803
2021-09-10,Vietnam,2021-W36,1345.31,1334.65,1353.66,1328.35,1345.31,3391323900,VN-Index,VNINDEX,VND,vnstock,0.7955384573581872,0.03514784096638474,0.7603906163918024
2021-09-17,Vietnam,2021-W37,1352.64,1345.31,1356.45,1334.97,1352.64,3356275500,VN-Index,VNINDEX,VND,vnstock,0.5433768628298833,-0.021972709982712797,0.5653495728125961
2021-09-24,Vietnam,2021-W38,1351.17,1352.64,1365.92,1324.82,1351.17,3879725500,VN-Index,VNINDEX,VND,vnstock,-0.1087354617992133,0.008786960156798813,-0.11752242195601212
2021-10-01,Vietnam,2021-W39,1334.89,1351.17,1354.38,1316.41,1334.89,2833124600,VN-Index,VNINDEX,VND,vnstock,-1.2121992324647939,-0.013185943803030304,-1.1990132886617635
2021-10-08,Vietnam,2021-W40,1372.73,1334.89,1373.18,1333.53,1372.73,3045657100,VN-Index,VNINDEX,VND,vnstock,2.7952566321853403,0.0,2.7952566321853403
2021-10-15,Vietnam,2021-W41,1392.7,1372.73,1400.78,1372.73,1392.7,3346429900,VN-Index,VNINDEX,VND,vnstock,1.4442851301407942,0.0,1.4442851301407942
2021-10-22,Vietnam,2021-W42,1389.24,1392.7,1402.63,1376.15,1389.24,3483911900,VN-Index,VNINDEX,VND,vnstock,-0.24874740534089534,-0.021975607164588906,-0.22677179817630644
2021-10-29,Vietnam,2021-W43,1444.27,1389.24,1447.62,1377.56,1444.27,4043098000,VN-Index,VNINDEX,VND,vnstock,3.884716857785703,-0.021975607164588906,3.906692464950292
